latitude,longitude,name,steder
55.6062332,12.3874039,arken,arken
55.9063259,9.7108063,østjylland,øst jylland tur
55.7943534851074,12.5053863525391,brede,brede
55.9312438964844,12.3255233764648,Nordsjælland,Nordsjælland og København
55.7381591796875,10.9123916625977,Røsnæs,Røsnæs tur
55.7652202,12.4079689,hareskov,hareskov
55.9312438964844,12.3255233764648,Nordsjælland,1 januar 2014
55.985767364502,11.9763040542603,melby,melby jagt stuen
55.9284871412116,12.5213489532471,nivå,nivå omegn
55.841775,12.063595,frederikssund,frederikssund
54.764614,11.870992,nykøbing falster,nykøbing falster
55.954805,11.897659,halsnæs,halsnæs
55.322816,12.447986,stevns kliNT,stevns kliNT
55.5048556,12.3573352,køge bugt,køge bugt
55.883299,12.500011,hørsholm,aboretet hørsholm
55.213858,11.583296,Menstrup,Menstrup sydsjælland
55.904623,12.498377,Kokkedal,Kokkedal 
55.674553,12.534292,Dr. Priemes Vej,Dr. Priemes Vej 
56.029745,12.609932,"færgevej 8, helsingør",ForSea - færgevej 8
55.8212038,12.4481334,Vaserne,Vaserne
56.182518,14.198667,Sverige,Sverige
56.615461,14.764594,Åsnen,Åsnen
55.691994,13.54934,Ørnetur,Ørnetur
56.48335,16.444022,Öland,Öland
55.383559,12.815903,Falsterbo,Falsterbo
58.284526,13.487289,Tranetur,Tranetur
56.846468,14.024448,Torstens ødegård,Torstens ødegård
43.783873,11.238963,Firenze/Toscana,Firenze/Toscana
41.924548,12.480373,Rom-tur,Rom-tur
45.450819,10.974897,Verona,Verona
45.42422,12.381833,Venezia,Venezia
41.61388,15.899672,Italien,Italien
32.53848,35.416037,Israel,Israel
34.913307,10.283916,Tunesien,Tunesien
61.771373,-6.810564,Færøerne,Færøerne
44.987479,29.116698,Rumænien,Rumænien
41.022593,29.037367,Istanbul,Istanbul
38.779206,40.186139,Tyrkiet,Tyrkiet
38.937528,-74.951731,New Jersey,New Jersey
47.491037,-122.056747,Seattletur,Seattletur
40.776924,-73.969183,Central Park,Central Park
39.12312,-101.798626,USA,USA
44.296753,-123.408275,Oregon,Oregon
63.450216,22.631463,Finland,Finland
63.450216,22.631463,Pyrenæerne,Pyrenæerne
39.225436,-3.740859,Spanien,Spanien
39.672381,2.985782,Mallorca,Mallorca
39.761559,-5.81254,Extremadura,Extremadura
36.035202,-5.6038,Tarifa,Tarifa
40.363221,-5.131915,Navarredonda de Gredos,Navarredonda de Gredos
39.468772,-5.887022,Trujillo,Trujillo
37.130184,-6.490339,El Rocio,El Rocio
36.758109,-5.368999,Grazalema,Grazalema
42.733569,27.786076,Bulgarien,Bulgarien
28.099501,-17.2182,La Gomera-tur,La Gomera-tur
28.042549,-16.702529,Los Christianos,Los Christianos
28.230255,-16.720382,Tenerife,Tenerife
43.449133,5.92428,Provence,Provence
48.856687,2.351482,Paris,Paris
47.445814,3.515385,frankrig,frankrig
54.09244,12.128629,rostock,rostock
54.499184,11.212931,Puttgarden,Puttgarden
54.546654,11.270237,MVP,MVP
54.4702556,13.4037469,Rügen,Rügen
54.8835648,8.6998675,Rieckelsbühler Kog,Rieckelsbühler Kog
52.5170365,13.3888599,Berlin,Berlin
54.796954,8.8849358,Nordtyskland,Nordtyskland
41.3794188,-8.759869,Portugal,Portugal
52.8359438,23.757029,Polenstur,Polenstur
49.2969446,19.9506589,Zakopane ,Zakopane 
30.1184765,-8.2715446,Marokko,Marokko
41.4254934,76.0057795,Kyrgysztan,Kyrgysztan
43.255205,-79.868202,Canada,Canada
13.313887,-16.6295461,Gambia,Gambia
34.5560154,38.2809745,Syrien,Syrien
20.7981339,57.1817084,Oman,Oman
47.5957526,20.2897721,Ungarn,Ungarn
9.1861512,38.9723814,Ethiopien,Ethiopien
25.6952963,32.687619,Egypten,Egypten
13.4086616,100.0004939,Thailand,Thailand
19.6116066,102.2502355,Laos,Laos
13.3617562,103.859032,Cambodja,Cambodja
30.1999999,35.7333329,Jordan,Jordan
51.5073218,-0.1276475,London,London
25.8989838,91.8812907,Nordøst indien,Nordøst indien
15.3004543,74.0855134,Goa,Goa
6.8124017,80.3354764,Sri Lanka,Sri Lanka
42.0844709,44.695937,Georgien,Georgien
8.9995751,-79.5834819,Canalzone,Canalzone
8.9560523,-79.5334158,Panama City,Panama City
8.0762065,-80.9021075,Cerro Azul,Cerro Azul
8.7959876,-82.4780635,Boquete,Boquete
9.3708886,-82.2442121,Bocas del Toro,Bocas del Toro
8.4300068,-82.3802594,El Valle ,El Valle 
55.8613681,12.0978161,Græse,Græse
