"id","turId","artId","antal"
"5192","687","1943","1"
"5193","689","1943","1"
"5194","690","1943","1"
"5195","691","1943","1"
"5196","692","1943","1"
"5197","693","1943","1"
"5198","694","1943","1"
"5199","697","1943","1"
"5200","695","1943","1"
"5201","696","1943","1"
"5202","686","1920","1"
"5203","687","1920","1"
"5204","688","1920","1"
"5205","689","1920","1"
"5206","690","1920","1"
"5207","691","1920","1"
"5208","692","1920","1"
"5209","693","1920","1"
"5210","694","1920","1"
"5211","697","1920","1"
"5212","695","1920","1"
"5213","696","1920","1"
"5214","686","1911","1"
"5215","687","1911","1"
"5216","688","1911","1"
"5217","689","1911","1"
"5218","690","1911","1"
"5219","691","1911","1"
"5220","692","1911","1"
"5221","693","1911","1"
"5222","694","1911","1"
"5223","697","1911","1"
"5224","695","1911","1"
"5225","696","1911","1"
"5226","688","1905","1"
"5227","689","1905","1"
"5228","690","1905","1"
"5229","691","1905","1"
"5230","692","1905","1"
"5231","693","1905","1"
"5232","697","1905","1"
"5233","695","1905","1"
"5234","696","1905","1"
"5235","694","2024","1"
"5236","693","2070","1"
"5237","694","2070","1"
"5238","697","2070","1"
"5239","686","2073","1"
"5240","687","2073","1"
"5241","688","2073","1"
"5242","689","2073","1"
"5243","691","2073","1"
"5244","692","2073","1"
"5245","693","2073","1"
"5246","694","2073","1"
"5247","697","2073","1"
"5248","695","2073","1"
"5249","688","2130","1"
"5250","689","2130","1"
"5251","692","2130","1"
"5252","693","2130","1"
"5253","686","3109","1"
"5254","694","3109","1"
"5255","695","3109","1"
"5256","698","3158","1"
"5257","688","3135","1"
"5258","698","4571","1"
"5259","691","4571","1"
"5260","692","4571","1"
"5261","693","4571","1"
"5262","697","4571","1"
"5263","687","4596","1"
"5264","687","4497","1"
"5265","690","4497","1"
"5266","691","4497","1"
"5267","692","4497","1"
"5268","693","4497","1"
"5269","694","4497","1"
"5270","699","7736","1"
"5271","686","7736","1"
"5272","691","7736","1"
"5273","693","7736","1"
"5274","697","7736","1"
"5275","691","10407","1"
"5276","694","10407","1"
"5277","697","10407","1"
"5278","691","10370","1"
"5279","692","7426","1"
"5280","694","7426","1"
"5281","690","6854","1"
"5282","692","6854","1"
"5283","694","6854","1"
"5284","697","8843","1"
"5285","686","9312","1"
"5286","687","9312","1"
"5287","688","9312","1"
"5288","689","9312","1"
"5289","690","9312","1"
"5290","691","9312","1"
"5291","692","9312","1"
"5292","693","9312","1"
"5293","694","9312","1"
"5294","697","9312","1"
"5295","695","9312","1"
"5296","690","9330","1"
"5297","691","9330","1"
"5298","692","9330","1"
"5299","693","9330","1"
"5300","697","9330","1"
"5301","695","9331","1"
"5302","691","9332","1"
"5303","689","8688","1"
"5304","691","8688","1"
"5305","689","7623","1"
"5306","690","7623","1"
"5307","686","7477","1"
"5308","687","7477","1"
"5309","688","7477","1"
"5310","689","7477","1"
"5311","690","7477","1"
"5312","691","7477","1"
"5313","693","7477","1"
"5314","694","7477","1"
"5315","697","7477","1"
"5316","695","7477","1"
"5317","696","7477","1"
"5318","686","7488","1"
"5319","687","7488","1"
"5320","688","7488","1"
"5321","689","7488","1"
"5322","690","7488","1"
"5323","691","7488","1"
"5324","692","7488","1"
"5325","693","7488","1"
"5326","694","7488","1"
"5327","697","7488","1"
"5328","695","7488","1"
"5329","696","7488","1"
"5330","688","7435","1"
"5331","689","7435","1"
"5332","691","7435","1"
"5333","693","7435","1"
"5334","688","8974","1"
"5335","691","8974","1"
"5336","693","8974","1"
"5337","694","8974","1"
"5338","691","9002","1"
"5339","687","8918","1"
"5340","688","8918","1"
"5341","690","8918","1"
"5342","691","8918","1"
"5343","693","8918","1"
"5344","694","8918","1"
"5345","695","8918","1"
"5346","696","8918","1"
"5347","693","9736","1"
"5348","694","9736","1"
"5349","687","10952","1"
"5350","688","10952","1"
"5351","689","10952","1"
"5352","690","10952","1"
"5353","691","10952","1"
"5354","693","10952","1"
"5355","694","10952","1"
"5356","697","10952","1"
"5357","695","10952","1"
"5358","691","10994","1"
"5359","687","10442","1"
"5360","690","10442","1"
"5361","693","10442","1"
"5362","695","10442","1"
"5363","696","10442","1"
"5364","686","10440","1"
"5365","687","10440","1"
"5366","690","10440","1"
"5367","691","10440","1"
"5368","694","10440","1"
"5369","697","10440","1"
