"id","latinFamilie","familieSort"
"320","Cecropis","7772"
"321","Celeus","4660"
"322","Centrocercus","226"
"323","Centropus","2959"
"324","Cephalopterus","4997"
"325","Cephalopyrus","7676"
"326","Cepphus","2091"
"327","Ceratogymna","4299"
"328","Cercibis","883"
"329","Cercococcyx","3046"
"330","Cercomacra","5650"
"331","Cercomela","9763"
"332","Cercotrichas","9667"
"333","Cereopsis","437"
"334","Cerorhinca","2105"
"335","Certhia","9188"
"336","Certhiaxis","6024"
"337","Certhidea","11775"
"338","Certhilauda","7854"
"339","Certhionyx","6432"
"340","Ceryle","4176"
"341","Cettia","8286"
"342","Ceuthmochares","2974"
"343","Ceyx","4150"
"344","Chaetocercus","3982"
"345","Chaetops","7583"
"346","Chaetoptila","6286"
"347","Chaetorhynchus","7136"
"348","Chaetornis","8256"
"349","Chaetura","3556"
"350","Chaimarrornis","9695"
"351","Chalcomitra","10043"
"352","Chalcoparia","9998"
"353","Chalcophaps","2232"
"354","Chalcopsitta","2533"
"355","Chalcostigma","3935"
"356","Chalybura","3812"
"357","Chamaea","8676"
"358","Chamaepetes","149"
"359","Chamaethlypis","10950"
"360","Chamaeza","5807"
"361","Charadrius","1811"
"362","Charitospiza","11613"
"363","Charmosyna","2586"
"364","Chasiempis","7242"
"365","Chauna","424"
"366","Chaunoproctus","10808"
"367","Chelictinia","1178"
"368","Chelidoptera","4781"
"369","Chen","453"
"370","Chenonetta","515"
"371","Cheramoeca","7694"
"372","Chersomanes","7858"
"373","Chersophilus","7889"
"374","Chilia","5887"
"375","Chionis","1711"
"376","Chiroxiphia","4877"
"377","Chlamydera","6230"
"378","Chlamydochaera","9573"
"379","Chlamydotis","1447"
"380","Chlidonias","2059"
"381","Chloephaga","499"
"382","Chlorestes","3697"
"383","Chloridops","10844"
"384","Chloroceryle","4171"
"385","Chlorocharis","9006"
"386","Chlorochrysa","11486"
"387","Chlorocichla","8156"
"388","Chloropeta","8393"
"389","Chlorophanes","11566"
"390","Chlorophoneus","6695"
"391","Chlorophonia","10728"
"392","Chloropipo","4881"
"393","Chloropsis","9941"
"394","Chlorornis","11471"
"395","Chlorospingus","11790"
"396","Chlorostilbon","3718"
"397","Chlorothraupis","11380"
"398","Chondestes","11256"
"399","Chondrohierax","1154"
"400","Chordeiles","3360"
"401","Chrysococcyx","3033"
"402","Chrysocolaptes","4706"
"403","Chrysolampis","3673"
"404","Chrysolophus","404"
"405","Chrysomma","8673"
"406","Chrysomus","11104"
"407","Chrysoptilus","4636"
"408","Chrysothlypis","11573"
"409","Chrysuronia","3752"
"410","Chunga","1475"
"411","Cichladusa","9651"
"412","Cichlherminia","9568"
"413","Cichlocolaptes","6098"
"414","Cichlopsis","9446"
"415","Cicinnurus","7516"
"416","Ciconia","852"
"417","Cinclidium","9699"
"418","Cinclocerthia","9229"
"419","Cinclodes","5900"
"420","Cincloramphus","8246"
"421","Cinclosoma","6628"
"422","Cinclus","9928"
"423","Cinnycerthia","9050"
"424","Cinnyricinclus","9339"
"425","Cinnyris","10119"
"426","Circaetus","1223"
"427","Circus","1258"
"428","Ciridops","10869"
"429","Cissa","7394"
"430","Cissopis","11365"
"431","Cistico","7924"
"432","Cisticola","7972"
"433","Cistothorus","9058"
"434","Cittura","4094"
"435","Cladorhynchus","1738"
"436","Clamator","2990"
"437","Clangula","613"
"438","Claravis","2274"
"439","Cleptornis","8993"
"440","Clibanornis","6040"
"441","Climacteris","6241"
"442","Clypicterus","11020"
"443","Clytoceyx","4095"
"444","Clytoctantes","5537"
"445","Clytolaema","3828"
"446","Clytomyias","6264"
"447","Clytorhynchus","7259"
"448","Clytospiza","10373"
"449","Cnemarchus","5370"
"450","Cnemophilus","6587"
"451","Cnemoscopus","11403"
"452","Cnemotriccus","5275"
"453","Cnipodectes","5225"
"454","Coccothraustes","10826"
"455","Coccycua","2993"
"456","Coccyzus","3008"
"457","Cochlearius","909"
"458","Cochoa","9572"
"459","Coeligena","3871"
"460","Coenocorypha","1848"
"461","Coereba","11151"
"462","Colaptes","4646"
"463","Colibri","3659"
"464","Colinus","191"
"465","Colius","3997"
"466","Collocalia","3491"
"467","Colluricincla","7127"
"468","Colonia","5398"
"469","Colorhamphus","5397"
"470","Columba","2167"
"471","Columbina","2271"
"472","Compsospiza","11670"
"473","Compsothraupis","11369"
"474","Conioptilon","4980"
"475","Conirostrum","11588"
"476","Conopias","5413"
"477","Conopophaga","5729"
"478","Conopophila","6427"
"479","Conostoma","8860"
"480","Conothraupis","11367"
"481","Contopus","5299"
"482","Conuropsis","2726"
"483","Copsychus","9676"
"484","Coracias","4063"
"485","Coracina","6867"
"486","Coracopsis","2692"
"487","Coracornis","6927"
"488","Coragyps","1072"
"489","Corapipo","4850"
"490","Corcorax","7475"
"491","Cormobates","6234"
"492","Corvinella","6975"
"493","Corvus","7473"
"494","Corydon","4802"
"495","Coryphaspiza","11615"
"496","Coryphistera","6046"
"497","Coryphospingus","11617"
"498","Corythaeola","2890"
"499","Corythaixoides","2910"
"500","Corythopis","5092"
"501","Coscoroba","467"
"502","Cossypha","9647"
"503","Cossyphicula","9628"
"504","Cotinga","4966"
"505","Coturnicops","1497"
"506","Coturnix","321"
"507","Coua","2972"
"508","Cracticus","6773"
"509","Cranioleuca","6022"
"510","Crateroscelis","6504"
"511","Crax","166"
"512","Creagrus","2019"
"513","Creatophora","9311"
"514","Creurgops","11374"
"515","Crex","1561"
"516","Crinifer","2912"
"517","Criniger","8194"
"518","Crithagra","10687"
"519","Crocias","8835"
"520","Crossleyia","8414"
"521","Crossoptilon","393"
"522","Crotophaga","2917"
"523","Crypsirina","7404"
"524","Cryptillas","8287"
"525","Cryptophaps","2476"
"526","Cryptospiza","10362"
"527","Cryptosylvicola","8407"
"528","Crypturellus","35"
"529","Cuculus","3067"
"530","Culicicapa","9921"
"531","Culicivora","5165"
"532","Curaeus","11098"
"533","Cursorius","1942"
"534","Cutia","8786"
"535","Cyanerpes","11565"
"536","Cyanicterus","11452"
"537","Cyanimitra","10036"
"538","Cyanistes","7653"
"539","Cyanochen","490"
"540","Cyanocitta","7363"
"541","Cyanocompsa","11859"
"542","Cyanocorax","7359"
"543","Cyanolanius","6753"
"544","Cyanolimnas","1607"
"545","Cyanoliseus","2758"
"546","Cyanoloxia","11856"
"547","Cyanolyca","7339"
"548","Cyanomitra","10035"
"549","Cyanophaia","3731"
"550","Cyanopica","7385"
"551","Cyanopsitta","2708"
"552","Cyanoptila","9886"
"553","Cyanoramphus","2604"
"554","Cyclarhis","7019"
"555","Cyclopsitta","2882"
"556","Cygnus","475"
"557","Cymbilaimus","5484"
"558","Cymbirhynchus","4794"
"559","Cynanthus","3730"
"560","Cyornis","9912"
"561","Cyphorhinus","9126"
"562","Cypseloides","3482"
"563","Cypsiurus","3567"
"564","Cypsnagra","11411"
"565","Cyrtonyx","210"
"566","Dacelo","4099"
"567","Dacnis","11561"
"568","Dactylortyx","207"
"569","Damophila","3740"
"570","Daphoenositta","6913"
"571","Daption","684"
"572","Daptrius","1077"
"573","Dasylophus","2985"
"574","Dasyornis","6479"
"575","Deconychura","6142"
"576","Deleornis","10000"
"577","Delichon","7760"
"578","Delothraupis","11474"
"579","Deltarhynchus","5471"
"580","Dendragapus","229"
"581","Dendrexetastes","6148"
"582","Dendrocincla","6139"
"583","Dendrocitta","7402"
"584","Dendrocolaptes","6168"
"585","Dendrocopos","4593"
"586","Dendrocygna","435"
"587","Dendroica","10924"
"588","Dendronanthus","10545"
"589","Dendroperdix","276"
"590","Dendropicos","4569"
"591","Dendrortyx","181"
"592","Deroptyus","2878"
"593","Dicaeum","9996"
"594","Dichrozona","5594"
"595","Dicrurus","7162"
"596","Didunculus","2339"
"597","Diglossa","11606"
"598","Diglossopis","11610"
"599","Dinemellia","10205"
"600","Dinopium","4701"
"601","Diomedea","668"
"602","Diopsittaca","2723"
"603","Dioptrornis","9797"
"604","Diphyllodes","7515"
"605","Discosura","3694"
"606","Diuca","11643"
"607","Dives","11121"
"608","Dolichonyx","11148"
"609","Doliornis","4935"
"610","Dolospingus","11746"
"611","Donacobius","9127"
"612","Donacospiza","11637"
"613","Doricha","3958"
"614","Doryfera","3634"
"615","Drepanis","10872"
"616","Drepanoptila","2426"
"617","Drepanorhynchus","10060"
"618","Drepanornis","7513"
"619","Dreptes","10027"
"620","Dromaeocercus","8237"
"621","Dromaius","68"
"622","Dromas","1727"
"623","Dromococcyx","2920"
"624","Drymocichla","8007"
"625","Drymodes","7574"
"626","Drymophila","5630"
"627","Drymornis","6145"
"628","Dryocopus","4667"
"629","Dryolimnas","1559"
"630","Dryoscopus","6713"
"631","Dryotriorchis","1238"
"632","Dubusia","11473"
"633","Ducula","2472"
"634","Dulus","7594"
"635","Dumetella","9191"
"636","Dumetia","8662"
"637","Dupetor","924"
"638","Dyaphorophyia","6638"
"639","Dysithamnus","5549"
"640","Dysmorodrepanis","10840"
"641","Eclectus","2657"
"642","Ectopistes","2248"
"643","Egretta","982"
"644","Elaenia","5050"
"645","Elanoides","1169"
"646","Elanus","1177"
"647","Elaphrornis","8315"
"648","Electron","4197"
"649","Eleothreptus","3456"
"650","Elminia","8234"
"651","Elseyornis","1814"
"652","Elvira","3721"
"653","Emberiza","11201"
"654","Emberizoides","11689"
"655","Embernagra","11693"
"656","Emblema","10426"
"657","Eminia","8044"
"658","Empidonax","5315"
"659","Empidonomus","5422"
"660","Empidornis","9809"
"661","Enicognathus","2786"
"662","Enicurus","9709"
"663","Enodes","9275"
"664","Ensifera","3872"
"665","Entomodestes","9466"
"666","Entomyzon","6339"
"667","Eolophus","2515"
"668","Eophona","10828"
