"id","latinFamilie","familieSort"
"1966","Suiriri","5058"
"1967","Sula","1016"
"1968","Surnia","3230"
"1969","Surniculus","3048"
"1970","Swynnertonia","9590"
"1971","Sylvia","8540"
"1972","Sylvietta","8518"
"1973","Sylviorthorhynchus","5910"
"1974","Sylviparus","7660"
"1975","Syma","4142"
"1976","Synallaxis","5998"
"1977","Syndactyla","6076"
"1978","Synthliboramphus","2099"
"1979","Sypheotides","1467"
"1980","Syrigma","964"
"1981","Syrmaticus","399"
"1982","Syrrhaptes","2111"
"1983","Taccocua","2975"
"1984","Tachornis","3562"
"1985","Tachuris","5164"
"1986","Tachybaptus","811"
"1987","Tachycineta","7710"
"1988","Tachyeres","481"
"1989","Tachymarptis","3569"
"1990","Tachyphonus","11425"
"1991","Tadorna","506"
"1992","Taeniopygia","10445"
"1993","Taeniotriccus","5216"
"1994","Talegalla","82"
"1995","Tangara","11550"
"1996","Tanygnathus","2656"
"1997","Tanysiptera","4093"
"1998","Taoniscus","49"
"1999","Tapera","2918"
"2000","Taphrolesbia","3937"
"2001","Taphrospilus","3763"
"2002","Taraba","5491"
"2003","Tarsiger","9626"
"2004","Tauraco","2904"
"2005","Tchagra","6706"
"2006","Telacanthura","3532"
"2007","Teledromas","5741"
"2008","Telespiza","10838"
"2009","Telophorus","6696"
"2010","Temnurus","7405"
"2011","Tephrodornis","6667"
"2012","Tephrozosterops","8995"
"2013","Terathopius","1224"
"2014","Terenotriccus","5257"
"2015","Terenura","5637"
"2016","Teretistris","10953"
"2017","Terpsiphone","7241"
"2018","Tersina","11551"
"2019","Tesia","8265"
"2020","Tetrao","222"
"2021","Tetraogallus","244"
"2022","Tetraophasis","239"
"2023","Tetrastes","217"
"2024","Tetrax","1468"
"2025","Thalassarche","677"
"2026","Thalassoica","683"
"2027","Thalassornis","436"
"2028","Thalurania","3739"
"2029","Thamnistes","5540"
"2030","Thamnolaea","9775"
"2031","Thamnomanes","5553"
"2032","Thamnophilus","5533"
"2033","Thamnornis","8409"
"2034","Thapsinillas","8211"
"2035","Thaumastura","3955"
"2036","Theristicus","882"
"2037","Thescelocichla","8157"
"2038","Thinocorus","1837"
"2039","Thinornis","1813"
"2040","Thlypopsis","11409"
"2041","Thraupis","11450"
"2042","Threnetes","3598"
"2043","Threskiornis","866"
"2044","Thripadectes","6105"
"2045","Thripophaga","6028"
"2046","Thryomanes","9060"
"2047","Thryorchilus","9110"
"2048","Thryothorus","9094"
"2049","Tiaris","11755"
"2050","Tichodroma","9180"
"2051","Tickellia","8490"
"2052","Tigriornis","900"
"2053","Tigrisoma","905"
"2054","Tijuca","4972"
"2055","Tilmatura","3956"
"2056","Timalia","8672"
"2057","Timeliopsis","6470"
"2058","Tinamotis","53"
"2059","Tinamus","6"
"2060","Tityra","4899"
"2061","Tmetothylacus","10575"
"2062","Tockus","4262"
"2063","Todirhamphus","4140"
"2064","Todirostrum","5223"
"2065","Todus","4182"
"2066","Tolmomyias","5236"
"2067","Topaza","3670"
"2068","Torreornis","11276"
"2069","Touit","2819"
"2070","Toxorhamphus","6599"
"2071","Toxostoma","9222"
"2072","Trachyphonus","4453"
"2073","Tragopan","366"
"2074","Tregallasia","7543"
"2075","Tregellasia","7542"
"2076","Treron","2371"
"2077","Trichastoma","8558"
"2078","Trichixos","9677"
"2079","Trichodere","6416"
"2080","Trichoglossus","2553"
"2081","Tricholaema","4431"
"2082","Tricholestes","8197"
"2083","Trichothraupis","11413"
"2084","Triclaria","2879"
"2085","Tringa","1895"
"2086","Trochilus","3696"
"2087","Trochocercus","7223"
"2088","Troglodytes","9109"
"2089","Trogon","4044"
"2090","Tropicranus","4263"
"2091","Trugon","2245"
"2092","Tryngites","1931"
"2093","Tumbezia","5381"
"2094","Turacoena","2222"
"2095","Turdoides","8706"
"2096","Turdus","9566"
"2097","Turnagra","6921"
"2098","Turnix","1697"
"2099","Turtur","2227"
"2100","Tylas","6756"
"2101","Tympanuchus","232"
"2102","Tyranneutes","5265"
"2103","Tyrannopsis","5421"
"2104","Tyrannulus","5019"
"2105","Tyrannus","5436"
"2106","Tyto","3088"
"2107","Upucerthia","5885"
"2108","Upupa","4231"
"2109","Uraeginthus","10396"
"2110","Uragus","10778"
"2111","Uratelornis","4073"
"2112","Uria","2085"
"2113","Urochroa","3843"
"2114","Urocissa","7390"
"2115","Urocolius","3999"
"2116","Urocynchramus","10779"
"2117","Urodynamis","3015"
"2118","Uroglaux","3308"
"2119","Urolais","8006"
"2120","Urolestes","6976"
"2121","Uromyias","5072"
"2122","Uropelia","2279"
"2123","Uropsalis","3454"
"2124","Uropsila","9111"
"2125","Urorhipis","8042"
"2126","Urosphena","8268"
"2127","Urosticte","3903"
"2128","Urothraupis","11611"
"2129","Urotriorchis","1326"
"2130","Vanellus","1768"
"2131","Vanga","6745"
"2132","Veles","3371"
"2133","Veniliornis","4620"
"2134","Vermivora","10886"
"2135","Vestiaria","10870"
"2136","Vidua","10528"
"2137","Vini","2568"
"2138","Vireo","7061"
"2139","Vireolanius","7023"
"2140","Volatinia","11694"
"2141","Vultur","1075"
"2142","Wetmorethraupis","11458"
"2143","WHISTLERS","6923"
"2144","Wilsonia","10957"
"2145","Woodfordia","8990"
"2146","Xanthocephalus","11147"
"2147","Xanthomixis","8413"
"2148","Xanthomyza","6377"
"2149","Xanthopsar","11105"
"2150","Xanthotis","6291"
"2151","Xema","2018"
"2152","Xenerpestes","6050"
"2153","Xenicus","4786"
"2154","Xenocopsychus","9648"
"2155","Xenodacnis","11575"
"2156","Xenoglaux","3266"
"2157","Xenoligea","11018"
"2158","Xenoperdix","328"
"2159","Xenopipo","4882"
"2160","Xenopirostris","6749"
"2161","Xenops","6127"
"2162","Xenopsaris","4911"
"2163","Xenornis","5538"
"2164","Xenospingus","11646"
"2165","Xenospiza","11244"
"2166","Xenotriccus","5277"
"2167","Xenus","1896"
"2168","Xiphidiopicus","4539"
"2169","Xiphirhynchus","8598"
"2170","Xiphocolaptes","6161"
"2171","Xipholena","4986"
"2172","Xiphorhynchus","6188"
"2173","Xolmis","5364"
"2174","Yuhina","8857"
"2175","Zanclostomus","2976"
"2176","Zaratornis","4933"
"2177","Zarhynchus","11021"
"2178","Zavattariornis","7410"
"2179","Zebrilus","910"
"2180","Zeledonia","11012"
"2181","Zenaida","2262"
"2182","Zimmerius","5110"
"2183","Zonerodius","899"
"2184","Zonotrichia","11217"
"2185","Zoonavena","3530"
"2186","Zoothera","9424"
"2187","Zosterops","8988"
