"id","familieID","danskArt","latinArt","engelskArt","artSort"
"3473","349","Skorstenssejler","pelagica ","Chimney Swift","35520"
"3474","349","Chapmans Tornhalesejler","chapmani ","Chapman's Swift","35530"
"3475","349","Amazonsejler","viridipennis ","Mato Grosso Swift","35540"
"3476","349","Korthalet Tornhalesejler","brachyura ","Short-tailed Swift","35550"
"3477","349","Tumbessejler","ocypetes ","Tumbes Swift","35560"
"3478","34","Mesasejler","saxatalis ","White-throated Swift","35570"
"3479","34","Hvidspidset Sejler","montivagus ","White-tipped Swift","35580"
"3480","34","Andessejler","andecolus ","Andean Swift","35590"
"3481","1984","Antilsejler","phoenicobia ","Antillean Palm Swift","35600"
"3482","1984","Dværgsejler","furcata ","Pygmy Palm Swift","35610"
"3483","1984","Kløfthalet Palmesejler","squamata ","Neotropical Palm Swift","35620"
"3484","1447","Svalehalesejler","sanctihieronymi ","Great Swallow-tailed Swift","35630"
"3485","1447","Lille Svalehalesejler","cayennensis ","Lesser Swallow-tailed Swift","35640"
"3486","563","Afrikansk Palmesejler","parvus ","African Palm Swift","35650"
"3487","563","Madagaskarpalmesejler","parvus gracilis","Madagascar Palm Swift","35660"
"3488","563","Asiatisk Palmesejler","balasiensis ","Asian Palm Swift","35670"
"3489","1989","Alpesejler","melba ","Alpine Swift","35680"
"3490","1989","Skællet Alpesejler","aequatorialis ","Mottled Swift","35690"
"3491","143","Kap Verde-sejler","alexandri ","Cap Verde Swift","35700"
"3492","143","Mursejler","apus ","Common Swift","35710"
"3493","143","Ensfarvet Sejler","unicolor ","Plain Swift","35720"
"3494","143","Nyanzasejler","niansae ","Nyanza Swift","35730"
"3495","143","Gråsejler","pallidus ","Pallid Swift","35740"
"3496","143","Afrikansk Sort Sejler","barbatus ","African Black Swift","35750"
"3497","143","Madagaskarsejler","balstoni ","Malagasy Black Swift","35760"
"3498","143","Fernando Po-sejler","sladeniae ","Fernando Po Swift","35770"
"3499","143","Kystsejler","berliozi ","Forbes-Watson's Swift","35780"
"3500","143","Namibsejler","bradfieldi ","Bradfield's Swift","35790"
"3501","143","Orientsejler","pacificus ","Fork-tailed Swift","35800"
"3502","143","Mørkgumpet Sejler","acuticauda ","Dark-rumped Swift","35810"
"3503","143","Lille Sejler","affinis ","Little Swift","35820"
"3504","143","Klippesejler","nipalensis ","House Swift","35830"
"3505","143","Horussejler","horus ","Horus Swift","35840"
"3506","143","Luandasejler","toulsoni ","Loanda Swift","35850"
"3507","143","Kaffersejler","caffer ","White-rumped Swift","35860"
"3508","143","Bjergsejler","batesi ","Bates's Swift","35870"
"3509","1770","Savnæbskolibri","naevius ","Saw-billed Hermit","35890"
"3510","730","Hvidspidset Seglnæbskolibri","aquila ","White-tipped Sicklebill","35900"
"3511","730","Okkerhalet Seglnæbskolibri","condamini ","Buff-tailed Sicklebill","35910"
"3512","794","Krognæbskolibri","dohrnii ","Hook-billed Hermit","35920"
"3513","794","Kanelbrystet Eremit","hirsutus ","Rufous-breasted Hermit","35930"
"3514","794","Bronzerygget Eremit","aeneus ","Bronzy Hermit","35940"
"3515","2042","Båndhalet Skægstrube","ruckeri ","Band-tailed Barbthroat","35950"
"3516","2042","Hvidhalet Skægstrube","leucurus ","White-tailed Barbthroat","35960"
"3517","2042","Amapáskægstrube","leucurus loehkeni","Bronze-tailed Barbthroat","35970"
